Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0aDFNvWSPPkl6040O57jPf,"Betelgeuse","My Light, My Destroyer","Cassandra Jenkins",2024-07-12,174358,19,false,1210603825,2024-12-02T18:47:46Z,"","Dead Oceans",0.323,0.245,0,-18.882,1,0.0423,0.954,0.116,0.107,0.109,101.028,3
spotify:track:3E6cVnr322MhBhmIyKEheG,"Love Can Be So Easy","Vasarė / Love Can Be So Easy","emer;Ugnė Uma",2024-07-16,229000,0,false,1210603825,2024-12-02T18:47:46Z,"dub techno,ambient jazz","Stroom",0.53,0.438,8,-12.198,0,0.0434,0.486,0.0436,0.109,0.426,119.867,4
spotify:track:5BPO11Ur5d3GIU5dRXJRbx,"Now That I Know U","Estrella Por Estrella","Joshua Chuquimia Crampton",2024-07-17,347739,19,false,1210603825,2024-12-02T18:47:46Z,"neo-psychedelic","Joshua Chuquimia Crampton",0.218,0.626,1,-7.546,1,0.0313,0.948,0.945,0.12,0.0946,141.353,4
spotify:track:5w5YZThDOGwskczdLV5fel,"This Was A Gift","This Was A Gift","Florist",2024-10-01,202500,17,false,1210603825,2024-12-02T18:47:46Z,"","Double Double Whammy",0.608,0.347,0,-11.388,1,0.0311,0.863,0.00188,0.331,0.22,137.644,4
spotify:track:4oOjNmOrlZyZgzOEwof2mb,"Passageway","Passageway","Nap Eyes",2024-07-30,224436,1,false,1210603825,2024-12-02T18:47:46Z,"","Paradise of Bachelors",0.602,0.332,0,-12.316,1,0.0307,0.285,0.000721,0.0965,0.306,122.858,4
spotify:track:5DgtHHvcK4wMICjbRgqpmR,"Nysian Fields","Demeter in Aexone","Sissi Rada",2024-10-18,98000,3,false,1210603825,2024-12-02T18:47:46Z,"ambient jazz","Kryptox",0.56,0.373,7,-12.872,0,0.0799,0.991,0.925,0.103,0.153,141.635,4
spotify:track:0rcLst2ds52RHVO4wHnW3Q,"Govinda P","Naya","Dawuna",2024-11-15,148243,12,false,1210603825,2024-12-02T18:47:46Z,"","Sun Royalle",0.555,0.106,9,-20.834,0,0.0325,0.961,0.0264,0.114,0.188,80.089,3
spotify:track:4NdfCp3ZZ7PgqXhkvC5s19,"Steady As I Am","Duppy Gun","John Glacier",2024-06-20,134545,5,false,1210603825,2024-12-02T18:47:46Z,"experimental hip hop","Young",0.685,0.763,1,-6.92,0,0.277,0.0888,0.175,0.275,0.584,132,4
spotify:track:5MssMfTSURfl8FaHlNqbZR,"Today’s Iconoclast","Disaster Trick","Horse Jumper of Love",2024-08-16,183386,21,true,1210603825,2024-12-02T18:47:46Z,"slowcore,shoegaze","Run For Cover Records",0.45,0.624,11,-6.905,0,0.0292,0.188,0.853,0.0732,0.642,138.113,4
spotify:track:18Guw3e7xcfpZQhxDsARbT,"That Kind","Unwell","Be Safe",2024-01-19,248000,2,false,1210603825,2024-12-02T18:47:46Z,"post-hardcore,midwest emo","Count Your Lucky Stars",0.469,0.47,7,-10.716,0,0.0409,0.217,0.205,0.116,0.187,83.958,4
spotify:track:7kN3xKqRtMQEnhxCK5d5Ih,"Song Of The Lake","Wild God","Nick Cave & The Bad Seeds",2024-08-30,216586,43,false,1210603825,2024-12-02T18:47:46Z,"","Play It Again Sam",0.166,0.725,3,-5.273,1,0.0501,0.0299,0.353,0.0496,0.466,148.766,3
spotify:track:5i3h1TIZUDwJOa3mZ9G9l2,"Beautiful Horses","I Wanna Run Barefoot Through Your Hair","Christopher Owens",2024-10-18,303052,0,false,1210603825,2024-12-08T03:24:59Z,"","True Panther/Virgin",0.424,0.63,4,-6.159,1,0.0307,0.0924,0.0302,0.253,0.413,118.473,3
spotify:track:4ge3prWZylb23cIXLfMfx6,"Watersprite","Big For You","Zsela",2024-06-14,230404,0,false,1210603825,2024-12-02T18:47:46Z,"","Mexican Summer",0.56,0.312,8,-11.461,0,0.0383,0.301,0.032,0.17,0.116,124.043,4
spotify:track:62BeHdQcwSUaJz0Tdwx1DS,"Heavy Blossom","Odd Balade","Tryphème",2024-06-21,251115,1,false,1210603825,2024-12-02T18:47:46Z,"idm,experimental","Impatience",0.519,0.592,3,-10.322,1,0.0291,0.0109,0.2,0.112,0.33,109.035,4
spotify:track:5WoskChGKC1yWUamS6PSBp,"Aliens Calling","Songs of the Red Dragon","Croche",2024-06-10,206917,1,false,1210603825,2024-12-02T18:47:46Z,"","Fondation Petya Sasser Rike",0.308,0.274,8,-13.784,1,0.0272,0.732,0.0128,0.102,0.173,84.95,3
spotify:track:4ZSm2UvemRF06ktBRTx5ty,"Stockholm - DJ Python Remix","Stockholm (DJ Python Remix)","Baba Stiltz;DJ Python",2024-06-20,474417,14,false,1210603825,2024-12-02T18:47:46Z,"lo-fi house,dub techno,idm","Public Possession",0.755,0.224,1,-14.204,1,0.0541,0.916,0.934,0.0878,0.341,166.033,4
spotify:track:6mBnYeJ9rAhDdEK8qXrheT,"Coyotes","Resuscitate!","Bill Callahan",2024-07-26,765200,21,false,1210603825,2024-12-02T18:47:46Z,"alt country","Drag City",0.305,0.656,2,-10.211,1,0.038,0.000644,0.571,0.681,0.333,117.671,4
