Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6gi85vIjiHFFDgfSp7UiHp,"Zephyr","Remnants","Lara Sarkissian",2024-11-15,233625,3,false,1210603825,2024-12-02T18:47:46Z,"experimental","btwn Earth+Sky",0.629,0.863,1,-10.436,1,0.0553,0.00942,0.846,0.115,0.224,119.991,4
spotify:track:4mZvW40n4uYK8f06Be7bxN,"Frekm, Pt. 2","Meaning's Edge","DjRUM",2024-11-22,492267,16,false,1210603825,2024-12-02T18:47:46Z,"idm,dub techno,breakbeat","Houndstooth",0.36,0.848,4,-10.615,0,0.0487,0.39,0.889,0.0968,0.0375,134.019,4
spotify:track:5aLwseyHgPRxyzqlCfIqal,"Open Door","Trellis","Lifted",2024-11-22,293265,5,false,1210603825,2024-12-02T18:47:46Z,"ambient jazz,idm","Peak Oil",0.518,0.287,0,-16.472,1,0.0785,0.941,0.649,0.0838,0.103,118.522,4
spotify:track:6rBb61WzgdQuzHYYg83tiF,"Another Space","Recollection","Earthen Sea",2024-11-15,267373,5,false,1210603825,2024-12-02T18:47:46Z,"dub techno,ambient,drone","kranky",0.431,0.33,9,-16.526,0,0.0279,0.71,0.913,0.216,0.168,99.913,4
spotify:track:649dDshUGbhHlj5262drH9,"Promise","Plays John Coltrane and Langston Hughes","Raphael Roginski",2024-09-27,292440,4,false,1210603825,2024-12-02T19:10:10Z,"ambient folk,experimental jazz,free jazz","Unsound",0.533,0.114,10,-16.168,1,0.0503,0.987,0.918,0.112,0.115,51.45,3
spotify:track:1jbetJmsFqFcAAQrjUbpYo,"Bitterroot Valley Suite II: Tree","Swallowtail","Jim White;Marisa Anderson",2024-05-10,335193,9,false,1210603825,2024-12-05T00:55:36Z,"ambient folk,experimental jazz,anti-folk","Thrill Jockey",0.262,0.578,2,-14.903,1,0.045,0.669,0.827,0.11,0.172,143.147,4
spotify:track:5EPBLXsdyBeWQDbysok2lp,"If I Cut The Wings Off A Fly","Big Smile, Black Mire","urika's bedroom",2024-11-01,171360,0,false,1210603825,2024-12-02T18:47:46Z,"","True Panther/Virgin",0.331,0.249,8,-14.915,1,0.0387,0.527,0.84,0.112,0.261,98.644,5
spotify:track:6xhhOKhvtmRXsFpzeHabbr,"November Rain","Night Palace","Mount Eerie",2024-11-01,135746,20,false,1210603825,2024-12-02T18:47:46Z,"slowcore,anti-folk,indie folk","P.W. Elverum & Sun",0.535,0.391,2,-11.44,1,0.0373,0.561,0.000198,0.155,0.337,129.287,4
spotify:track:4AospY5fjmrrNpqoKPWBXU,"Reprise Rest Rain","Original Spring","Adelyn Strei",2024-11-15,287117,1,false,1210603825,2024-12-02T18:47:46Z,"","Mtn Laurel Recording Co.",0.248,0.449,7,-12.388,1,0.0366,0.966,0.872,0.135,0.145,72.602,4
spotify:track:15xJ6zPgCOv0MNsoI9TIhG,"23rd & Jackson Water Pipe Restoration Tunnel","Out Under Streets","Bug Bus Piano",2024-09-30,356902,0,false,1210603825,2024-12-05T01:57:25Z,"drone,drone metal,ambient,plunderphonics","Stern Records",0.486,0.897,5,-7.28,0,0.302,0.848,0.954,0.108,0.615,171.819,4
spotify:track:57ljwfTaSCaUA72A2GOm2s,"Born Through","Atlas of Green","Dialect",2024-09-20,148656,9,false,1210603825,2024-12-05T14:29:10Z,"electroacoustic,ambient jazz,experimental jazz,ambient,experimental","RVNG Intl.",0.396,0.455,9,-10.513,1,0.0311,0.143,0.786,0.147,0.104,80.043,4
spotify:track:2SdAAnHTzKei7SHETNhcCw,"Da Da da","Pedestrians Of Bright Silence","Jespfur",2024-01-12,186250,39,false,1210603825,2024-12-04T23:08:57Z,"","10k",0.607,0.362,7,-12.926,0,0.0257,0.279,0.479,0.191,0.18,103.977,4
spotify:track:33f4qrtPWsgEhPYx59du7c,"Superhuman","Moves in the Field","Kelly Moran",2024-03-29,272786,17,false,1210603825,2024-12-04T23:08:30Z,"ambient,electroacoustic,experimental,neoclassical","Warp Records",0.247,0.292,3,-21.071,0,0.0323,0.987,0.901,0.103,0.0816,86.323,4
